"(24, 0.010375499116876501)","(583, 0.008682173302394826)","(25, 0.008458662430482199)","(581, 0.00813774331126164)","(19, 0.005893772989178017)","(3, 0.005269913450688839)","(579, 0.005226938194297756)","(18, 0.005072734142179151)","(578, 0.0046603693468656015)","(585, 0.004507771461781566)","(22, 0.004391143794118584)","(5, 0.004372315502669628)","(561, 0.004353034887622785)","(21, 0.004337511675018893)","(28, 0.004326947213942026)","(16, 0.004087219250908439)","(589, 0.004041441252669435)","(560, 0.00399590937395296)","(565, 0.003980543879947304)","(20, 0.0039762682151658554)","(10, 0.0038733153633544242)","(8, 0.003810315225481633)","(582, 0.0037592850146441485)","(572, 0.003758611436036065)","(576, 0.0036827717453317456)","(7, 0.003668245260736076)","(269, 0.0036556771305271307)","(570, 0.0036466204134628717)","(257, 0.003645153825024581)","(587, 0.0036373214858895116)","(29, 0.003594125079459327)","(13, 0.0035067229730765676)","(568, 0.003475313549407481)","(9, 0.0034458525909090466)","(567, 0.003414343227167867)","(566, 0.0033153783409218887)","(573, 0.003255460110198435)","(574, 0.003242420019866921)","(571, 0.003239618578795336)","(580, 0.0031168112045105783)","(563, 0.0031146767312737775)","(575, 0.003046445191977742)","(270, 0.0030081671068499017)","(6, 0.002992563198412205)","(569, 0.0029433874753278604)","(577, 0.0029228703666850475)","(264, 0.0028856855032988312)","(562, 0.002865903669169171)","(26, 0.0028291731445687102)","(31, 0.002791088951318269)","(588, 0.0027874614093121135)","(249, 0.0027521365817637163)","(11, 0.0027487057059114284)","(259, 0.0027480784234630382)","(276, 0.002720597255446416)","(14, 0.002719443878533766)","(586, 0.002650120245542171)","(268, 0.0026246306300718785)","(584, 0.002610947863688515)","(2, 0.002578851162658102)","(1, 0.0025035660710917306)","(261, 0.002487545574477485)","(251, 0.002456555975464194)","(278, 0.0024113635495533864)","(564, 0.002393871644890957)","(12, 0.002332914198706157)","(559, 0.0019646940906592665)","(30, 0.0018246873352572822)","(274, 0.0018047619697300241)","(267, 0.0017862100792375773)","(273, 0.0016260372664081344)","(275, 0.0013249967744821515)","(265, 0.001319235918051383)","(263, 0.0012690958314212366)","(4, 0.0012317365249263344)","(255, 0.0011823429885076556)","(250, 0.0010822008503066942)","(277, 0.0009448970266595054)","(252, 0.0009366779135974441)","(262, 0.0008549514054591843)","(271, 0.0007575916716338227)","(260, 0.0005969673763161764)","(272, 0.0005677415479837548)","(266, 0.0004703033945643843)","(254, 0.000422946307350632)","(253, 0.00040224961548981805)","(23, 0.0)","(27, 0.0)","(256, 0.0)","(279, 0.0)","(258, 0.0)","(15, 0.0)","(17, 0.0)"
"(27, 0.02282581867063839)","(584, 0.012445277547584132)","(276, 0.008597306850319642)","(24, 0.003485276677211952)","(581, 0.0026159114911287044)","(25, 0.002190093381676984)","(583, 0.0020953159063368224)","(2, 0.0016045207323355684)","(17, 0.001564085364172604)","(5, 0.0012398475790268415)","(19, 0.0011509718566198122)","(28, 0.001060183012418123)","(257, 0.0009116094794035698)","(26, 0.0009001676504231584)","(30, 0.0007608139163834634)","(563, 0.0007332329993278754)","(29, 0.0006971876456495336)","(31, 0.0006598011628410301)","(265, 0.0006213845519069289)","(15, 0.0005892579901462589)","(587, 0.0005852914327361068)","(14, 0.0005774555791271155)","(16, 0.0005743564091308054)","(3, 0.0005607122492265253)","(272, 0.0005546421614958966)","(1, 0.0005036220670475409)","(585, 0.0004907471747937182)","(580, 0.0004720556099021072)","(565, 0.00043475765271228843)","(268, 0.00043035974286807104)","(577, 0.00041908136430671405)","(12, 0.0004175067900428696)","(274, 0.00041731607074464895)","(21, 0.00041627787296338463)","(267, 0.00039967409198962955)","(559, 0.0003710967800397482)","(589, 0.0003693849740194298)","(250, 0.00036636847612859646)","(588, 0.00036591628960417315)","(9, 0.0003643558925434369)","(567, 0.0003471189539727628)","(277, 0.00034040936086415275)","(572, 0.0003252035828958781)","(579, 0.00032351691228276434)","(273, 0.00032188989707385645)","(278, 0.00031089604639655523)","(582, 0.00030720765910036444)","(275, 0.00027780202320498595)","(264, 0.00027643571117679574)","(569, 0.00027036912738323033)","(261, 0.0002636829497140092)","(279, 0.0002595350916969575)","(570, 0.00025772004523287145)","(22, 0.00024252307477094515)","(10, 0.00024149480299051534)","(573, 0.0002405766461564691)","(271, 0.000235035163835918)","(574, 0.00023395591092965334)","(8, 0.00023060211164554302)","(13, 0.0002256278257533451)","(7, 0.00021994834327493412)","(578, 0.00020621114016938495)","(266, 0.00019557941998714302)","(252, 0.0001827904225972549)","(11, 0.00018145929136998467)","(253, 0.0001774595211428158)","(263, 0.0001745430504915922)","(18, 0.00017412936701322843)","(270, 0.0001714488943310509)","(575, 0.00016700055626445)","(255, 0.00015122700913345818)","(258, 0.00014689244290861118)","(254, 0.00012901618068075196)","(566, 0.00011741547374392431)","(561, 0.0001107448015891996)","(256, 0.00010860456726986623)","(571, 0.00010614862219640518)","(4, 0.00010080000458707536)","(6, 9.827964089605488e-05)","(564, 9.782366308321726e-05)","(568, 9.479917200897768e-05)","(251, 7.952507875119297e-05)","(269, 7.520855529940729e-05)","(586, 6.535622999422924e-05)","(562, 4.441511060160009e-05)","(262, 4.088858154354431e-05)","(259, 8.687395529590566e-06)","(20, 0.0)","(23, 0.0)","(249, 0.0)","(260, 0.0)","(560, 0.0)","(576, 0.0)"
"(15, 0.02305864453553154)","(581, 0.0020242883808583418)","(583, 0.0019147678692643885)","(24, 0.0017844064641181249)","(19, 0.0015796267457023683)","(17, 0.0015412608843445885)","(20, 0.0013182093856228356)","(585, 0.0011407421253835947)","(274, 0.0010522317617937401)","(577, 0.0009901621328645715)","(276, 0.000974893603924438)","(14, 0.000838468764272856)","(9, 0.0007924372574226897)","(12, 0.00071815981276402)","(31, 0.0007114923339488475)","(582, 0.0007001452649197901)","(1, 0.0006944875318238462)","(4, 0.0006539025892887084)","(586, 0.000650187015799572)","(588, 0.0006474792286526463)","(584, 0.0006448296972762946)","(30, 0.0006317472001700883)","(25, 0.0006212478048133048)","(11, 0.0006099432158152755)","(3, 0.0006047596575645298)","(26, 0.0006046746481639634)","(272, 0.0006031368909538023)","(22, 0.0006026348187204931)","(580, 0.0005909740621188354)","(275, 0.0005773618939022978)","(589, 0.0005736383710428767)","(16, 0.0005582665985958516)","(262, 0.0005328574620294215)","(268, 0.0005265243542390413)","(8, 0.0005023782939993134)","(578, 0.0004994704091971436)","(279, 0.00046666527111166806)","(587, 0.00046585642619507886)","(567, 0.0004594626835995984)","(565, 0.00044850066542216974)","(273, 0.00044653572894796256)","(573, 0.0004268923181111597)","(7, 0.0004258547896116683)","(21, 0.00042269007495051864)","(566, 0.00042071648752840584)","(271, 0.00041802204123767505)","(568, 0.0004171385135812546)","(559, 0.00038586663548305616)","(6, 0.0003831563210219612)","(563, 0.00037904767550556997)","(2, 0.0003580186361378484)","(574, 0.00035745272044396286)","(579, 0.00035517626449081636)","(261, 0.00035279062264775)","(250, 0.00032496461883504496)","(253, 0.0003132325251658548)","(10, 0.0003119295518944366)","(561, 0.0003105069983163233)","(571, 0.0003058393813354231)","(269, 0.00030510797658600715)","(263, 0.0003021669437307741)","(264, 0.000299266333309255)","(251, 0.0002937717006442511)","(570, 0.0002860171939098572)","(5, 0.00026354345805444364)","(28, 0.00025775205671840746)","(13, 0.0002403188777476771)","(259, 0.00023474968326722508)","(278, 0.00022525126542943477)","(255, 0.00021523082379650517)","(560, 0.00021281566249983582)","(257, 0.00021010755527869635)","(18, 0.00019961205606586324)","(576, 0.00018508143787082646)","(564, 0.0001844319510786404)","(277, 0.00017426723421278171)","(572, 0.00016793641369662992)","(575, 0.00016118680024289458)","(562, 0.00015850975851945003)","(29, 0.00015038977626113915)","(266, 0.00012384708396029123)","(258, 7.861193125668132e-05)","(249, 6.157158893619553e-05)","(256, 5.676750200741988e-05)","(252, 1.971373982061605e-05)","(265, 1.92549204456675e-05)","(569, 1.7715965431363602e-05)","(267, 1.1665425070792583e-05)","(23, 0.0)","(27, 0.0)","(254, 0.0)","(260, 0.0)","(270, 0.0)"
"(17, 0.021172705543984593)","(22, 0.00345590874131106)","(26, 0.0025271152034197497)","(28, 0.002256442088082156)","(14, 0.0020788053005589397)","(8, 0.0018654916784105386)","(31, 0.0017860925830478676)","(570, 0.001636226125583068)","(265, 0.0015818626825503893)","(568, 0.0015606804494432238)","(585, 0.001505537862570376)","(25, 0.0014780304544035226)","(272, 0.0014214205808053464)","(264, 0.0014173504531259247)","(578, 0.001397206441569379)","(270, 0.0013723928353225213)","(566, 0.0013578061598992703)","(573, 0.001347124528765289)","(572, 0.001320511392762789)","(565, 0.0012915893876842208)","(19, 0.0012893122355505738)","(11, 0.0012757887587444914)","(12, 0.001266340133708289)","(30, 0.0012643463046213101)","(27, 0.0012399523788834714)","(9, 0.0012189747420216178)","(260, 0.001218011444609984)","(576, 0.0012177718646261529)","(571, 0.0012151674656245115)","(575, 0.0011768550276255506)","(564, 0.001168273743093572)","(20, 0.0011579436445840717)","(563, 0.0011567483606215825)","(13, 0.001135584690797415)","(1, 0.0011216306949503364)","(562, 0.0011105007381720816)","(2, 0.0011075456710629855)","(252, 0.0010854022811005134)","(577, 0.0010828205748433183)","(6, 0.0010679358993850175)","(559, 0.0010576207432781747)","(569, 0.0010559991912618485)","(263, 0.0010536801838885055)","(261, 0.001032772969296754)","(262, 0.0010282287121183118)","(3, 0.001025459388554176)","(16, 0.0010137388208009482)","(574, 0.000997178597285304)","(253, 0.0009603290976073497)","(4, 0.0009549741641937025)","(10, 0.000951549639084224)","(254, 0.0009512072517661547)","(560, 0.0009508658065654214)","(274, 0.0009494871124020974)","(267, 0.0009431876187917503)","(255, 0.000910195644027784)","(567, 0.0009055513473089242)","(587, 0.0008932480828778811)","(251, 0.0008908732099428045)","(259, 0.0008883203359782333)","(7, 0.0008866148765570763)","(271, 0.000875442595386605)","(258, 0.000859090273317898)","(266, 0.0008538011032786713)","(18, 0.000817134926905379)","(256, 0.0007964240318204084)","(561, 0.0007885171589540387)","(273, 0.0007843864661158795)","(582, 0.0007736317414653275)","(249, 0.0007680476230093143)","(269, 0.000739164816817272)","(586, 0.0007360224880284723)","(29, 0.0007064316693330416)","(250, 0.0006905942414369883)","(279, 0.0006672236998063493)","(588, 0.000661236457439304)","(268, 0.0006084327312810789)","(580, 0.0005538072248483107)","(257, 0.0005311666573736556)","(589, 0.00052652474099072)","(5, 0.0004911596462143275)","(583, 0.00048496124521339934)","(21, 0.0004329988928238318)","(276, 0.0004066540176147397)","(275, 0.0003974043683820225)","(24, 0.0003310302128128588)","(579, 0.00024107255050954837)","(15, 0.00016787273710226224)","(23, 0.00012720176397971073)","(584, 0.0)","(581, 0.0)","(278, 0.0)","(277, 0.0)"
"(258, 0.00934500593438185)","(260, 0.009302242172732133)","(254, 0.009272315136153581)","(266, 0.008833856433470257)","(252, 0.008590007593231313)","(271, 0.008370528508107997)","(279, 0.008173393843655181)","(256, 0.008144109596882526)","(250, 0.007762861360027571)","(263, 0.00757597532992261)","(253, 0.007352259059281448)","(265, 0.007163841514759815)","(262, 0.006851471619442387)","(261, 0.006544714367460828)","(2, 0.006278679511357203)","(4, 0.006275817258620876)","(6, 0.006257010314631798)","(255, 0.006072564413150684)","(277, 0.006009782721921409)","(559, 0.0056949313545783045)","(259, 0.005652079506453339)","(273, 0.005650075245203176)","(249, 0.005646386683316129)","(275, 0.005488618926553424)","(257, 0.005417596874024309)","(572, 0.005359235084251739)","(586, 0.0051698315310300565)","(12, 0.004976156801368319)","(576, 0.004913053897780818)","(264, 0.004874320478025674)","(267, 0.0048708849415563206)","(274, 0.004757936482466175)","(272, 0.004596849170589175)","(11, 0.004561505449308268)","(278, 0.004516127016915628)","(9, 0.004492216602656581)","(1, 0.0044408222710904)","(577, 0.00442934344340818)","(251, 0.004410136781935231)","(564, 0.004383080368089683)","(568, 0.0043224190836149345)","(584, 0.004314885505511799)","(588, 0.004233590151363597)","(582, 0.004208328477305734)","(573, 0.0041958351673701145)","(575, 0.004172689834667974)","(562, 0.00410310302289401)","(570, 0.004048676134895159)","(560, 0.004027411828652357)","(268, 0.0040261561118063545)","(574, 0.003998438300652797)","(571, 0.003958350322531216)","(18, 0.003912520925025015)","(563, 0.003903375975921678)","(579, 0.0039001460954955743)","(565, 0.0038589087150820516)","(561, 0.003818128742964779)","(566, 0.003809878471641869)","(21, 0.003773504452429029)","(269, 0.003768671284830904)","(8, 0.003735366520964468)","(16, 0.003700076537060086)","(567, 0.0036373872976259523)","(569, 0.003600716283024244)","(30, 0.0035969363163822505)","(7, 0.0035893762913338984)","(580, 0.003579100810050537)","(589, 0.0035414756721853457)","(10, 0.0035143316965820905)","(13, 0.0033765364960690247)","(270, 0.003339465506772919)","(3, 0.0033255269464378375)","(31, 0.003323781286301152)","(5, 0.003111056839134506)","(276, 0.003050373677124269)","(14, 0.0030066513498813474)","(578, 0.0028903706001186785)","(587, 0.0027514714954491194)","(29, 0.0026797347910917702)","(15, 0.002550709724436069)","(585, 0.0023739383272594174)","(27, 0.0023086674244053662)","(26, 0.002254935800682619)","(20, 0.0017366165872682577)","(19, 0.0017039713942097827)","(25, 0.0016651352864267572)","(583, 0.0015855670487493051)","(581, 0.00138818541971374)","(28, 0.0005435904856135898)","(22, 6.986919860753544e-05)","(23, 0.0)","(24, 0.0)","(17, 0.0)"
"(23, 0.01303943178114958)","(22, 0.006710745863090472)","(20, 0.006258809305109742)","(28, 0.00590987313190014)","(272, 0.0054186008024920684)","(30, 0.004709225487192859)","(26, 0.003937367531581702)","(27, 0.0037345847456837834)","(29, 0.0034378636190588153)","(14, 0.0032820841201278415)","(31, 0.0031066411816441605)","(278, 0.0030708205472835893)","(268, 0.002755619175459934)","(277, 0.0027079414854753645)","(270, 0.0026565203295620026)","(580, 0.002378854205518507)","(585, 0.0023414470841366785)","(275, 0.002256771313384732)","(1, 0.0021883770927318283)","(570, 0.0021821292223137825)","(274, 0.0021757432282479504)","(577, 0.0021440456846385163)","(15, 0.00209933677253568)","(587, 0.002078712058468302)","(589, 0.0020703882579452674)","(12, 0.0020541487663479057)","(267, 0.0019755678841007415)","(279, 0.0019307368799202436)","(8, 0.0017987309396736428)","(575, 0.0017318611340723456)","(586, 0.0016893662668054606)","(566, 0.0016846345260433996)","(578, 0.0016644520381392874)","(10, 0.0016496202552193002)","(559, 0.0016352057188729543)","(573, 0.0016337842887841768)","(582, 0.0015659367893797525)","(262, 0.001560937897973146)","(571, 0.0015266579779883997)","(259, 0.0014933599592961261)","(569, 0.0014850198469830403)","(6, 0.0014768561974963148)","(564, 0.001462918940219332)","(574, 0.0014486336600420832)","(256, 0.0014446544242780839)","(563, 0.0014432007876808435)","(11, 0.0014367240353893764)","(560, 0.001424499075243337)","(562, 0.0014176078910979367)","(9, 0.0014002148274775664)","(576, 0.0013894135357110909)","(588, 0.0013247680875304653)","(567, 0.0013156654981891153)","(4, 0.001299098945831763)","(5, 0.001232404911293514)","(21, 0.0012302241136464985)","(568, 0.0011953189577754847)","(269, 0.0011720385781644124)","(572, 0.0011660081745704998)","(255, 0.0011574800497900746)","(273, 0.0011555074425705389)","(561, 0.001152690206173192)","(13, 0.0011444924679939682)","(254, 0.0011222930155971977)","(249, 0.001120579865907374)","(263, 0.0011098409110412823)","(266, 0.001104682391890486)","(19, 0.0010942279119748174)","(18, 0.0010396689757636566)","(253, 0.0010177129602054703)","(250, 0.0010012471077509813)","(579, 0.0009855993635060748)","(265, 0.0009795142236113247)","(251, 0.000957730831054243)","(565, 0.0009534872788452599)","(252, 0.0009417836972780742)","(2, 0.0009388810147389673)","(271, 0.0008851232166479906)","(25, 0.0008800973667421261)","(17, 0.0008500352161852737)","(16, 0.0008355064327204028)","(264, 0.0008260642567654638)","(7, 0.0007933487326413235)","(3, 0.0006953221751838674)","(276, 0.000614930381906486)","(258, 0.000492743675551519)","(257, 0.0004897684261058147)","(261, 0.0004811582241451717)","(584, 0.0004540196672242737)","(260, 0.00035594583133284196)","(583, 0.0)","(24, 0.0)","(581, 0.0)"
"(21, 0.044282333503622956)","(578, 0.04297318400450203)","(579, 0.04292928059570329)","(580, 0.04276692894184801)","(587, 0.041822731021393576)","(276, 0.04069439479316158)","(269, 0.040395124245865166)","(278, 0.04027058967469578)","(268, 0.04019056118121359)","(581, 0.03987930498824537)","(588, 0.03987507951395379)","(274, 0.03956598693972845)","(18, 0.03955128766312537)","(277, 0.039408745023801484)","(589, 0.039403411776033306)","(5, 0.0390216779773368)","(16, 0.03900586570716983)","(279, 0.03861778800016007)","(569, 0.03848414692182498)","(29, 0.038469124004562434)","(13, 0.0382195105816965)","(585, 0.03816371094241986)","(12, 0.03812850007954126)","(275, 0.03771241191717483)","(584, 0.03752886827075007)","(583, 0.037352271811585916)","(3, 0.03734149911173126)","(10, 0.037211485380118904)","(9, 0.0370799791835738)","(251, 0.03686746118862397)","(7, 0.03663552497988707)","(24, 0.03617351740535168)","(586, 0.03612129846847616)","(19, 0.03595842505201933)","(270, 0.03575679471494651)","(563, 0.0354249570475162)","(582, 0.03540169667986075)","(561, 0.03531897558495969)","(4, 0.03507820828576668)","(574, 0.03494807263648681)","(562, 0.034869606138429335)","(11, 0.034602025434934895)","(20, 0.03438890976531357)","(14, 0.034275284634580266)","(250, 0.03409067454218223)","(31, 0.03395914529681024)","(560, 0.0336566089154844)","(565, 0.03362242192174585)","(573, 0.033558224249038475)","(564, 0.03349520886661344)","(28, 0.0333310434473091)","(566, 0.033207012925412845)","(273, 0.03319703036034725)","(567, 0.0331432871197164)","(2, 0.033134515692167764)","(575, 0.033133679929948784)","(15, 0.03311803414447066)","(571, 0.03303649917518458)","(568, 0.03299092891584097)","(6, 0.03296464185478612)","(267, 0.032750942224086525)","(249, 0.03266589739536497)","(264, 0.03258823288169418)","(570, 0.03231693318359942)","(26, 0.03226443589194531)","(253, 0.03193346654042781)","(1, 0.0318989181329932)","(257, 0.0315999178521484)","(27, 0.03142584398817706)","(559, 0.031342540564486016)","(8, 0.03133606164120249)","(22, 0.031205331787492435)","(30, 0.031134161101202627)","(261, 0.03068311055723014)","(271, 0.03057624890157527)","(17, 0.03049228023536424)","(23, 0.03038722112792587)","(576, 0.030055780793010634)","(572, 0.029242536480903032)","(259, 0.028896778672737825)","(25, 0.028769908531955303)","(577, 0.028551277309266793)","(255, 0.02818144824493416)","(256, 0.027663474457372893)","(266, 0.0266638827376354)","(272, 0.026282933236055253)","(252, 0.026223344337140023)","(260, 0.025960064925571888)","(263, 0.02581702021893588)","(258, 0.02562044432435914)","(254, 0.02541581572714385)","(262, 0.023397048223298425)","(265, 0.021882390374595016)"
"(273, 0.033044075817685294)","(275, 0.030405718477238067)","(277, 0.02994832402070728)","(258, 0.029641328050749476)","(263, 0.0293581184860669)","(256, 0.027509058585092176)","(266, 0.027231114350483226)","(253, 0.026216924956114055)","(268, 0.026080586705251096)","(254, 0.02600448521311331)","(260, 0.02590108964737172)","(271, 0.025485050629944547)","(255, 0.02540311493177157)","(265, 0.02474658439373119)","(252, 0.024570653852455687)","(279, 0.024388804238793325)","(262, 0.0241529694505924)","(274, 0.023099389318027325)","(250, 0.021833623523847063)","(267, 0.019984635047484472)","(278, 0.0182456378234011)","(586, 0.01773879409049496)","(257, 0.017683679942794264)","(261, 0.01739515688734846)","(564, 0.017113343459718114)","(584, 0.0169440686101379)","(251, 0.016531205328272448)","(576, 0.016175576704948947)","(276, 0.016135933164548272)","(588, 0.01587190823488332)","(559, 0.015769915159708724)","(264, 0.015238276886772274)","(30, 0.014877896358607442)","(4, 0.014689252479539857)","(581, 0.01461607191059378)","(259, 0.014030300604881278)","(269, 0.0139746663919737)","(585, 0.013509814411677363)","(249, 0.013313065573327867)","(577, 0.012670636368618555)","(582, 0.012108908383452249)","(580, 0.012039708112301501)","(569, 0.011545470019168263)","(1, 0.011443397154625773)","(560, 0.011304362960619204)","(272, 0.011217604000668492)","(575, 0.011192556471821968)","(270, 0.011178927624990823)","(2, 0.010865789473323478)","(587, 0.010844046970786265)","(12, 0.010795952694819708)","(29, 0.010361526833126977)","(579, 0.01020005021631386)","(20, 0.010155384232508741)","(21, 0.010118588693725374)","(578, 0.01011786423571829)","(568, 0.009718551827908766)","(572, 0.009374964858215293)","(565, 0.009134598090860122)","(589, 0.009116636389830766)","(6, 0.009111512292747112)","(15, 0.0090256053000089)","(31, 0.008925844869108204)","(567, 0.008630121627202187)","(574, 0.008621274825830067)","(571, 0.00851679004958669)","(561, 0.008387081636600123)","(23, 0.008224009914817048)","(583, 0.007780736859497146)","(562, 0.007583071998980657)","(7, 0.0072549756962369495)","(14, 0.006878681180154227)","(16, 0.006673923253449475)","(11, 0.0063482752570917)","(563, 0.006115069996539511)","(570, 0.005905817189735838)","(19, 0.005848753672483619)","(3, 0.005778642815154005)","(566, 0.005754922940838209)","(26, 0.00531781898318019)","(9, 0.005301755682912863)","(573, 0.005299787452907152)","(8, 0.004379912913791189)","(22, 0.004239441346056569)","(17, 0.003569858670677341)","(24, 0.0033436941822141118)","(5, 0.0025067939902806606)","(13, 0.0021332078935847225)","(10, 0.0015715657302698893)","(25, 0.0013903183286678856)","(27, 0.0006987730949460006)","(28, 0.0)","(18, 0.0)"
"(257, 0.03508522218386301)","(7, 0.03444633583541113)","(5, 0.03285067841037796)","(567, 0.029016806973185573)","(261, 0.028605739157804275)","(249, 0.0283608703580123)","(565, 0.027989091600026824)","(18, 0.025899355512419335)","(561, 0.025122125616553397)","(10, 0.024966916413167804)","(13, 0.02481082435297693)","(258, 0.02454285949228672)","(253, 0.024202253028422382)","(255, 0.024033666450929022)","(576, 0.023594677300638037)","(262, 0.023198452398786266)","(252, 0.02241003046521518)","(571, 0.0218769719009273)","(265, 0.021825960517054835)","(568, 0.021819375661466665)","(563, 0.021485462288121676)","(251, 0.021406224174413385)","(263, 0.02085932372095766)","(569, 0.020854394102838618)","(579, 0.019788855884534728)","(21, 0.01977629017396243)","(562, 0.01943276743913006)","(254, 0.019386463200657154)","(259, 0.019173994430745012)","(16, 0.018815949720331047)","(564, 0.01745223391975878)","(560, 0.01744338592837069)","(3, 0.017286149014125642)","(9, 0.017248204690462458)","(269, 0.0171202478206497)","(566, 0.016422438190089)","(250, 0.015696195723487783)","(273, 0.01546506397019409)","(575, 0.015294171863927307)","(271, 0.01517458433436489)","(11, 0.014937610496027598)","(8, 0.014269637624573804)","(260, 0.013982926414088015)","(573, 0.013653516004556266)","(574, 0.013493415007562487)","(577, 0.01314545374938806)","(559, 0.013005719057341278)","(267, 0.012835283915354346)","(582, 0.012784159538758201)","(1, 0.012437893911334338)","(275, 0.012356290897413299)","(256, 0.01222837757145934)","(264, 0.012122271927036812)","(23, 0.01211654538487146)","(272, 0.011960465025138095)","(14, 0.011915345122173312)","(25, 0.011906429761195745)","(2, 0.011622784655891021)","(572, 0.011332091339790061)","(588, 0.01106230270157921)","(266, 0.011002983194972584)","(584, 0.010862360184969156)","(30, 0.010782802105770699)","(580, 0.01077875389220144)","(24, 0.010768946618845612)","(583, 0.01040772714147081)","(12, 0.010281611176501202)","(578, 0.01006087287361634)","(31, 0.009929818132114894)","(589, 0.00956548678243355)","(6, 0.009474716984056442)","(581, 0.009463312732514228)","(4, 0.009415611770766143)","(278, 0.009145970211697423)","(570, 0.009008692774540127)","(586, 0.008629453093597032)","(587, 0.008265817662547238)","(27, 0.007998859542828888)","(19, 0.007798617280908175)","(270, 0.0076295877808995475)","(274, 0.007574139200892761)","(22, 0.006590344732976043)","(28, 0.0056427673278792445)","(277, 0.005309447815310805)","(585, 0.005302844296805501)","(26, 0.00490082437028704)","(17, 0.004591049388864894)","(29, 0.004502310028584468)","(279, 0.004273145780955476)","(20, 0.003489419224169411)","(268, 0.002783776033135468)","(15, 0.001655836067330969)","(276, 0.0)"
"(276, 0.0253154980261585)","(260, 0.02517157625862733)","(267, 0.024488247263693214)","(266, 0.02447581282274648)","(572, 0.0240080433946507)","(17, 0.02308210955983538)","(562, 0.022136130938402356)","(270, 0.021819255859935074)","(566, 0.020776018828097476)","(573, 0.020282648351886912)","(8, 0.019266760643558867)","(256, 0.019097607110789214)","(564, 0.018923525242310647)","(272, 0.018667665538949472)","(19, 0.018381950791575705)","(569, 0.017951560534704307)","(570, 0.017916150558008326)","(571, 0.017629137467455914)","(26, 0.016873048811459613)","(575, 0.016729350193497198)","(14, 0.016496292569988497)","(264, 0.016454805343653425)","(254, 0.016363847471649696)","(251, 0.01575369902809618)","(577, 0.015159616402550284)","(28, 0.01502848116457194)","(560, 0.01492382301651252)","(259, 0.014599797214057646)","(255, 0.014559619612418863)","(31, 0.014473147286355655)","(565, 0.01445688912826061)","(574, 0.014340938853509611)","(567, 0.01365272303766224)","(263, 0.013590210840417585)","(265, 0.013556465414464343)","(250, 0.012749042161129218)","(6, 0.01233689656678822)","(16, 0.012224584660279514)","(568, 0.012126897596022609)","(13, 0.012013997337400958)","(252, 0.01200111676837847)","(271, 0.012000196300264124)","(262, 0.011792552595335924)","(563, 0.011541945757249913)","(11, 0.011530561172836724)","(29, 0.011249291900666189)","(4, 0.01114676103314701)","(22, 0.011137044003037559)","(3, 0.010878824610176316)","(20, 0.010471293986078508)","(25, 0.010337311934003824)","(561, 0.009987586994722493)","(2, 0.00963151737911888)","(559, 0.009612189077614056)","(277, 0.00953277569376814)","(23, 0.00945216886586808)","(9, 0.009425011244310944)","(261, 0.009375828157659057)","(576, 0.00926148321169822)","(24, 0.008147850948564468)","(279, 0.0080844936193153)","(253, 0.007988774853314973)","(249, 0.0079055417398831)","(7, 0.007732432958201539)","(269, 0.0077118003382351035)","(12, 0.007621946421725138)","(1, 0.007548643659299958)","(18, 0.007464757281363988)","(27, 0.007294887123675367)","(30, 0.006785465906640062)","(10, 0.005924698688221225)","(5, 0.005836908665909455)","(586, 0.005398274445089313)","(582, 0.0049360313847273485)","(258, 0.004706276420522975)","(578, 0.004452357502469759)","(15, 0.004260682518332174)","(589, 0.003973402806392686)","(588, 0.003702341248849919)","(275, 0.003160428270452844)","(278, 0.00313845912512205)","(583, 0.0020876313740119975)","(585, 0.0018446220330847719)","(273, 0.001815254035943263)","(268, 0.0017785518114291554)","(587, 0.0017633955664787886)","(580, 0.0015389563923873144)","(274, 0.000945733674517673)","(579, 0.00040764489324643144)","(584, 0.0002989164955091407)","(581, 0.00020091081763448572)","(21, 7.530983635906913e-06)","(257, 0.0)"
