ComponentID:,X
Sensor_id,average amplitude,standard deviations,avgQ_0,winQ_0,avgQ_3,winQ_3,avgQ_6,winQ_6,avgQ_9,winQ_9,avgQ_12,winQ_12,avgQ_15,winQ_15,avgQ_18,winQ_18
1,0.17919530434782607,0.060417353849078516,-0.7700104837669081,<123>,0.13627155853701473,<344>,0.5742150256241502,<445>,0.9658059419096657,<566>,0.9354108337800137,<655>,0.4088146756110444,<444>,0.13627155853701473,<443>
2,0.9594565217391304,0.0012201233319544486,-0.4088146756110446,<333>,-0.6046101337538022,<313>,0.13627155853701473,<344>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
3,0.936911304347826,0.0004913097344837695,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.935410833780014,<221>,-0.9050157256503621,<222>,-0.4088146756110446,<333>,-0.7396153756372562,<223>
4,0.9880513043478262,0.0058249570286512216,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.935410833780014,<221>,-0.9050157256503621,<222>,-0.4088146756110446,<333>,0.5742150256241502,<445>
5,0.4162473913043478,0.0029344938344239464,0.770010483766908,<645>,0.13627155853701473,<344>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.935410833780014,<221>,-0.5742150256241505,<233>,-0.4088146756110446,<333>
6,0.9313130434782607,0.0027981242704519563,-0.4088146756110446,<333>,-0.8004055918965598,<311>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.5742150256241505,<233>,-0.4088146756110446,<333>
7,0.9962891304347828,0.0006310165232004495,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.6046101337538021,<644>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.4088146756110446,<333>
8,0.9997278260869567,0.0003282225719092976,-0.6046101337538022,<133>,-0.13627155853701495,<334>,0.9658059419096657,<665>,0.7396153756372561,<554>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.9354108337800137,<655>
9,-0.412904347826087,0.007410350473485482,-0.6046101337538022,<133>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.9354108337800137,<655>
10,0.8860408695652172,0.05257499140259546,0.4088146756110444,<444>,0.13627155853701473,<443>,-0.5742150256241505,<332>,-0.9658059419096657,<112>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.770010483766908,<456>
11,0.9379669565217392,0.0338092137473722,-0.6046101337538022,<133>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.7396153756372561,<455>,0.9354108337800137,<655>,0.905015725650362,<555>
12,0.9853039130434781,0.006577890331240703,-0.5742150256241505,<323>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.7700104837669081,<213>
13,0.39267217391304343,0.003027742675473703,-0.5742150256241505,<233>,0.4088146756110444,<444>,0.7396153756372561,<455>,0.9658059419096657,<566>,0.905015725650362,<555>,0.4088146756110444,<444>,-0.13627155853701495,<433>
14,0.9465534782608698,0.002705132977034679,-0.6046101337538022,<133>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.9354108337800137,<565>
15,0.9979873913043475,0.00038727832246953227,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.9050157256503621,<222>,-0.9658059419096657,<112>,0.13627155853701473,<344>
16,0.8869047826086957,0.03256575940803937,0.6046101337538021,<644>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>
17,-0.3758560869565217,0.002652216036728916,0.13627155853701473,<344>,0.770010483766908,<465>,0.7396153756372561,<545>,0.905015725650362,<555>,0.905015725650362,<555>,0.7396153756372561,<554>,0.4088146756110444,<444>
18,0.9329799999999999,0.005645433706911297,0.770010483766908,<654>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.935410833780014,<212>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
19,0.998914347826087,0.00019448540991344126,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.935410833780014,<212>,-0.7700104837669081,<123>,0.13627155853701473,<344>,0.770010483766908,<465>
20,0.8741291304347826,0.002248634200041319,-0.6046101337538022,<133>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.9658059419096657,<665>,0.7396153756372561,<554>,0.4088146756110444,<444>
