ComponentID:,Y
Sensor_id,average amplitude,standard deviations,avgQ_0,winQ_0,avgQ_3,winQ_3,avgQ_6,winQ_6,avgQ_9,winQ_9,avgQ_12,winQ_12,avgQ_15,winQ_15,avgQ_18,winQ_18,avgQ_21,winQ_21,avgQ_24,winQ_24,avgQ_27,winQ_27,avgQ_30,winQ_30,avgQ_33,winQ_33,avgQ_36,winQ_36
1,0.00279820475,0.011712712179219209,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,-0.7700104837669081,<312>,-0.5742150256241505,<233>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.9354108337800137,<556>,0.7396153756372561,<554>
2,0.27511575,0.006777222841068457,-0.9658059419096657,<211>,-0.7396153756372562,<223>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.770010483766908,<456>
3,-0.34842450000000014,0.005643174616295334,0.9354108337800137,<565>,0.5742150256241503,<544>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.9050157256503621,<222>,-0.935410833780014,<212>,-0.935410833780014,<212>,-0.9658059419096657,<112>
4,-0.05358320000000001,0.027074037394891805,0.9962010500393174,<666>,0.9354108337800137,<655>,0.7396153756372561,<554>,0.4088146756110444,<444>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.9050157256503621,<222>,-0.6046101337538022,<133>,-0.4088146756110446,<333>
5,-0.00864964825,0.006044478580070778,0.9962010500393174,<666>,0.9658059419096657,<665>,0.7396153756372561,<554>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.9050157256503621,<222>,-0.935410833780014,<221>,-0.935410833780014,<212>,-0.7396153756372562,<223>,-0.4088146756110446,<333>
6,-0.274752595,0.15906660046092952,0.770010483766908,<654>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.9050157256503621,<222>,-0.9658059419096657,<112>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.9050157256503621,<222>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.4088146756110444,<444>
7,-0.3980902500000001,0.10564859519859927,0.9354108337800137,<655>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.935410833780014,<212>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.13627155853701473,<344>
8,-0.12204932200000004,0.07986111605422554,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.935410833780014,<212>,-0.4088146756110446,<333>,0.13627155853701473,<443>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.5742150256241502,<445>,0.9354108337800137,<556>
9,0.007269548200000001,0.0054280364451076936,-0.9962010500393174,<111>,-0.9658059419096657,<112>,-0.9050157256503621,<222>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.905015725650362,<555>,0.9354108337800137,<565>,0.5742150256241503,<544>,0.4088146756110444,<444>
10,-0.0015120725000000008,0.01480573222503682,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.7396153756372561,<554>,0.5742150256241502,<445>,0.9354108337800137,<565>,0.905015725650362,<555>,0.5742150256241503,<544>,-0.13627155853701495,<433>
11,-0.15266325000000006,0.01459572358389607,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.5742150256241502,<445>,0.770010483766908,<564>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.5742150256241505,<332>
12,-0.052162795000000005,0.03433172837340082,0.9962010500393174,<666>,0.9658059419096657,<665>,0.4088146756110444,<444>,-0.13627155853701495,<433>,-0.7700104837669081,<312>,-0.7396153756372562,<223>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.4088146756110444,<444>
13,2.1646080000000002e-10,1.4926483742918187e-09,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.9354108337800137,<655>,-0.4088146756110446,<333>,-0.7700104837669081,<132>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.4088146756110446,<333>,-0.5742150256241505,<323>
