ComponentID:,Z
Sensor_id,average amplitude,standard deviations,avgQ_0,winQ_0,avgQ_3,winQ_3,avgQ_6,winQ_6,avgQ_9,winQ_9,avgQ_12,winQ_12,avgQ_15,winQ_15,avgQ_18,winQ_18,avgQ_21,winQ_21
1,0.9943184,0.0036210768343132413,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.9050157256503621,<222>,-0.7700104837669081,<123>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.5742150256241502,<445>,0.905015725650362,<555>
2,-0.013096516000000002,0.0067715030676315895,-0.33206701667977256,<134>,0.4088146756110444,<444>,0.770010483766908,<456>,0.5742150256241503,<544>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>,0.4088146756110444,<444>
3,0.015067439999999994,0.002390334454924666,-0.7700104837669081,<123>,-0.13627155853701495,<334>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.9354108337800137,<556>,0.905015725650362,<555>,0.5742150256241503,<544>,0.13627155853701473,<443>
4,-0.007960615999999998,0.0015907990260696039,-0.13627155853701495,<433>,-0.7396153756372564,<322>,-0.9658059419096657,<211>,-0.9050157256503621,<222>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.4088146756110444,<444>
5,0.004256992,0.007757639759541815,-0.6046101337538022,<133>,-0.13627155853701495,<334>,0.9354108337800137,<556>,0.7396153756372561,<554>,0.905015725650362,<555>,0.7396153756372561,<554>,0.4088146756110444,<444>,0.13627155853701473,<443>
6,-0.046772812999999996,0.054530618491830704,0.770010483766908,<564>,-0.13627155853701495,<433>,-0.7396153756372564,<322>,-0.33206701667977256,<134>,0.4088146756110444,<444>,0.905015725650362,<555>,0.905015725650362,<555>,0.905015725650362,<555>
7,-0.005084404,0.0019109343577381197,-0.7700104837669081,<213>,0.4088146756110444,<444>,0.7396153756372561,<545>,0.3320670166797724,<643>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.935410833780014,<122>,-0.935410833780014,<122>
8,-0.0011976392000000002,0.00048548878626736584,0.770010483766908,<465>,0.905015725650362,<555>,0.5742150256241503,<544>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
9,-0.0076450708,0.009262365802652332,0.6046101337538021,<644>,-0.13627155853701495,<433>,-0.5742150256241505,<323>,-0.935410833780014,<221>,-0.935410833780014,<122>,-0.7396153756372562,<223>,-0.4088146756110446,<333>,0.4088146756110444,<444>
10,-0.24888720000000003,0.09021280674139343,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.7396153756372564,<322>,-0.935410833780014,<221>,-0.7396153756372562,<223>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.5742150256241502,<445>
11,-0.00029973102932,0.0008046382551824558,0.905015725650362,<555>,0.9354108337800137,<556>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.9962010500393174,<666>,0.9962010500393174,<666>,-0.1362715585370149,<631>
12,0.016630187999999997,0.040872841670550095,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.1362715585370149,<631>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
13,-8.019984000000002e-09,4.8371635516651125e-08,0.10587645040736297,<451>,-0.13627155853701495,<433>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.13627155853701473,<344>,0.4088146756110444,<444>,0.770010483766908,<654>
14,-0.05802428,0.004023319211993998,-0.935410833780014,<221>,-0.9050157256503621,<222>,-0.5742150256241505,<233>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.905015725650362,<555>,0.9658059419096657,<665>,0.7396153756372561,<554>
15,0.000105346516,0.00011874843816518237,-0.7396153756372564,<322>,-0.9658059419096657,<112>,-0.9050157256503621,<222>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,0.4088146756110444,<444>,0.5742150256241502,<445>
16,-0.005095374000000001,0.0034693748593405123,0.6046101337538021,<644>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.935410833780014,<122>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.7396153756372562,<223>
17,-6.7660776e-08,6.102791836877466e-08,-0.6046101337538022,<331>,-0.4088146756110446,<333>,-0.13627155853701495,<334>,0.4088146756110444,<444>,0.13627155853701473,<434>,0.4088146756110444,<444>,0.604610133753802,<446>,0.770010483766908,<564>
18,0.05787795999999999,0.0037314362433786786,0.4088146756110444,<444>,0.5742150256241502,<445>,0.905015725650362,<555>,0.9354108337800137,<655>,0.4088146756110444,<444>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.4088146756110446,<333>
19,-0.0006717678,0.0003052763487328817,0.5742150256241503,<544>,0.13627155853701473,<443>,-0.4088146756110446,<333>,-0.9050157256503621,<222>,-0.935410833780014,<212>,-0.5742150256241505,<233>,-0.4088146756110446,<333>,0.13627155853701473,<344>
20,0.014435880000000003,0.003311099446649103,0.770010483766908,<654>,0.4088146756110444,<444>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.4088146756110446,<333>,-0.5742150256241505,<332>,-0.7700104837669081,<213>
